WorkOrderName,DateTime_Received,Address,Cross_Street,ZipCode,Comment,Latitude,Longitude,SubCategory,Hour,Minute,Year,Month,Day,Weekday
WO-0000413456,2018-02-25 06:15:28,157 N 11th St,,95112,c/s E. St. James St. mattress,37.34322,-121.881832,Mattress,6,15,2018,2,25,6
WO-0000381551,2015-04-26 03:15:29,526 S Willard Ave  San Jose  CA 95126  USA,,95126,Couches  folding bed and stroller in front of 525 s willard,37.318859,-121.916662,Unknown,3,15,2015,4,26,6
WO-0000330980,2015-06-27 03:11:04,1173 Edith St  San Jose  CA 95122  USA,,95122,Illegal dumping of beds and matresses,37.343903,-121.834701,Mattress,3,11,2015,6,27,5
WO-0000355894,2019-01-08 01:52:45,1343 E Taylor St  San Jose  CA 95133  USA,,95133,Large pile of debris in road on corner of mabury and Taylor,37.362888,-121.87658,Unknown,1,52,2019,1,8,1
WO-0000121880,2021-02-14 00:19:22,1803-1807 Eaglehurst Drive  San Jose  California 95121  United States,,95121,Cabinet with glass,37.302303,-121.801975,Unknown,0,19,2021,2,14,6
WO-0000160428,2020-02-26 09:48:39,1032 N 10th St,,95112,scrap metal recycle company  leaving shopping carts in front of property  C/S Horning & Commercial,37.36104,-121.895814,Unknown,9,48,2020,2,26,2
WO-0000157912,2017-06-26 02:43:13,1080 N 7th St,,95112,debris * garbage pile,37.359259,-121.89905,Unknown,2,43,2017,6,26,0
WO-0000399619,2015-09-18 10:13:22,5605 Blossom Park Ln  San Jose  CA 95118  USA,,95118,Blossom Hill Rd just east of Camden Ave.,37.236667,-121.901248,Unknown,10,13,2015,9,18,4
WO-0000214168,2020-10-19 00:48:44,1230 Vine Street  San Jose  California 95110  United States,,95110,Illegal dumping throughout alley,37.315255,-121.880671,Unknown,0,48,2020,10,19,0
WO-0000223643,2018-11-12 04:05:54,5340 Sigrid Way,,95123,test,37.257478,-121.823188,Unknown,4,5,2018,11,12,0
WO-0000260754,2021-12-05 04:52:35,maria way & milich,,95117,love seat & over sized chair near the gutter,37.298048,-121.958594,Furniture,4,52,2021,12,5,6
WO-0000438505,2018-11-04 10:28:35,HAMILTON and MENDENHALL,,95130,Junk,37.293902,-121.974353,Electronic Waste,10,28,2018,11,4,6
WO-0000416970,2016-01-14 11:02:25,1345 Baysland Ct,,95131,Sofa and bag of garbage,37.380523,-121.877541,Garbage and Debris,11,2,2016,1,14,3
WO-0000463919,2018-12-31 14:15:06,900 Lonus St  San Jose  CA 95126  USA,,95126,Trash,37.317404,-121.902729,Garbage and Debris,14,15,2018,12,31,0
WO-0000146823,2015-08-25 18:46:59,Coleman Rd & Corumba St,,95120,2 carts south side of intersection,37.239071,-121.88443,Unknown,18,46,2015,8,25,1
WO-0000432323,2020-02-20 00:47:28,444 North 26th Street  San Jose  CA 95116  USA,,95116,At the end of the street,37.35336,-121.871847,Garbage and Debris,0,47,2020,2,20,3
WO-0000280859,2018-04-16 23:38:04,433 Osgood Court  San Jose  California 95111  United States,,95111,Water heater  tv  misc debris dumped,37.268342,-121.808937,Garbage and Debris,23,38,2018,4,16,0
WO-0000334805,2018-10-31 17:37:15,5815 Eden Park Place  San Jose  California 95138  United States,,95138,Dumping,37.251888,-121.776916,Unknown,17,37,2018,10,31,2
WO-0000204808,2020-04-05 09:00:06,1596 Desdemona Court  San Jose  California 95121  United States,,95121,Microwave  boxes  large screen monitors,37.313473,-121.823238,Unknown,9,0,2020,4,5,6
WO-0000252023,2021-03-29 17:22:08,398 S Buena Vista Ave  San Jose  CA 95126  USA,,95126,One large sofa near the middle of 398 South Buena Vista Avenue,37.32153,-121.918846,Furniture,17,22,2021,3,29,0
WO-0000361573,2018-10-08 19:59:05,542 Chiechi Ave  San Jose  CA 95126  USA,,95126,Three piles along Chiechi  includes containers of motor oil.,37.31861,-121.915961,Furniture,19,59,2018,10,8,0
WO-0000253734,2015-01-10 22:37:33,Senter Road & Wool Creek Drive,,95112,Green couch in the right hand lane,37.312647,-121.852524,Furniture,22,37,2015,1,10,5
WO-0000408810,2019-02-02 19:18:30,3748 Underwood Dr  San Jose  CA 95117  USA,,95117,Couch and general debris,37.309711,-121.967203,Garbage and Debris,19,18,2019,2,2,5
WO-0000052700,2017-12-30 21:36:00,345 N 6th St,,95112,cs Julian couch,37.343926,-121.889553,Furniture,21,36,2017,12,30,5
WO-0000039809,2015-12-26 00:48:46,san ignacio at santa teresa,,95119,East of corner of San Ignacio and Santa Teresa. about 5 cubic yard of dirt  also branches hanging from trees,37.233055,-121.787064,Unknown,0,48,2015,12,26,5
WO-0000430970,2020-02-11 19:04:25,276 N 5th St  San Jose  CA  USA,,95112,Illegal dumping of garbage (type unknown)on curb and sidewalk @ 276 N. 5th St. Closest intersection is N. 5th St / E. Julian St.,37.342373,-121.889102,Unknown,19,4,2020,2,11,1
WO-0000077312,2016-08-25 16:55:23,544 Boynton Ave,,95117,cs Akron Wy busted up table  carts full of garb,37.317054,-121.965793,Garbage and Debris,16,55,2016,8,25,3
WO-0000382808,2018-01-01 13:24:06,1762 La Porte Ave,,95122,Junk,37.333808,-121.834302,Garbage and Debris,13,24,2018,1,1,0
WO-0000106964,2017-05-13 20:44:28,Alum Rock & N King Rd,,95116,accident- debris and glass all over intersection,37.352935,-121.855562,Garbage and Debris,20,44,2017,5,13,5
WO-0000352033,2018-11-06 21:46:29,1325 Palm St  San Jose  CA 95110  USA,,95110,Dumping,37.312288,-121.881523,Furniture,21,46,2018,11,6,1
WO-0000307297,2019-06-26 23:14:01,1607 Koch Ln  San Jose  CA 95125  USA,,95125,Someone dumped an old RV at Husted and Booksin. The government workers haven’t done anything about it. I don’t think they’re capable of getting ANYTHING done.,37.274282,-121.90364,Unknown,23,14,2019,6,26,2
WO-0000084940,2020-11-06 10:53:19,452  Branham Lane East  San Jose  California  95111  United States,,95111,One seater couch dumped on the sidewalk,37.268833,-121.808182,Furniture,10,53,2020,11,6,4
WO-0000346751,2018-10-24 16:07:47,2767 Camino Del Rey  San Jose  CA 95132  USA,,95132,Water heater north side Camino del Rey between 2767 and 2773.,37.396405,-121.865942,Unknown,16,7,2018,10,24,2
WO-0000349329,2020-06-16 19:14:24,3641 Lisbon Drive  San Jose  CA 95132  USA,,95132,Upholstered chair here for a month.  On Pidemont Rd south direction  of corner Lisbon Dr.  THANKS,37.400505,-121.844584,Garbage and Debris,19,14,2020,6,16,1
WO-0000354059,2015-03-28 18:14:25,435 S Willard Ave,,95126,CS Eugena Ct - mattress,37.320964,-121.917677,Mattress,18,14,2015,3,28,5
WO-0000269126,2016-03-08 01:43:32,3581 Greenlee Drive  San Jose  California 95117  United States,,95117,I reported this a week ago nothing has been done and the pile is just getting bigger. Please take care of this situation ASAP,37.319984,-121.964256,Unknown,1,43,2016,3,8,1
WO-0000304544,2019-01-08 09:07:19,1607 Koch Ln  San Jose  CA 95125  USA,,95125,Someone dumped an old RV at Husted and Booksin. The government workers haven’t done anything about it. I don’t think they’re capable of getting ANYTHING done.,37.274282,-121.90364,Unknown,9,7,2019,1,8,1
WO-0000429368,2016-05-02 21:51:14,572 Troy Dr,,95117,Large dinning room table  across the street along highway wall.,37.316871,-121.968973,Furniture,21,51,2016,5,2,0
WO-0000458981,2018-07-11 11:41:13,937 Alexis Ct  San Jose  CA 95116  USA,,95116,Someone dumped trashes and shopping car behind 937 Alexis Ct  San Jose CA 95116 near intersection Sunset ave and Alexis Ct.,37.344948,-121.839254,Unknown,11,41,2018,7,11,2
WO-0000245452,2015-04-02 18:38:30,802 Mclellan Avenue  San Jose  California 95110  United States,,95110,Tv,37.319972,-121.888445,Electronic Waste,18,38,2015,4,2,3
WO-0000157234,2018-05-07 07:29:40,Old tully rd & Tully Rd,,95111,Trash in roadway,37.303888,-121.853687,Unknown,7,29,2018,5,7,0
WO-0000227083,2021-02-15 02:50:29,1446 East San Antonio Street  San Jose  California 95116  United States,,95116,Furniture dumped along East San Antonio Street,37.345859,-121.860187,Unknown,2,50,2021,2,15,0
WO-0000192033,2021-09-01 17:11:33,798 South 1st Street  San Jose  California 95113  United States,,95112,A lot of garbage,37.324516,-121.881117,Unknown,17,11,2021,9,1,2
WO-0000377656,2019-08-28 15:02:54,686 Webster Dr  San Jose  CA 95133  USA,,95133,Cross street Pacheco,37.372337,-121.855495,Garbage and Debris,15,2,2019,8,28,2
WO-0000312120,2016-08-03 02:59:54,403 Minnesota Ave,,95125,Mattress e,37.314032,-121.889577,Mattress,2,59,2016,8,3,2
WO-0000389862,2016-06-25 09:06:37,2143 Piedmont Road   San Jose  CA 95132  USA,,95132,Refrigerator chair misc,37.416012,-121.857399,Other,9,6,2016,6,25,5
WO-0000014838,2019-06-15 20:13:51,Coyote Rd and Silver Creek Valley Rd,,95138,NB  Mattress-,37.257099,-121.793105,Unknown,20,13,2019,6,15,5
WO-0000113156,2018-04-22 15:29:14,1309-1349  Shortridge Avenue  San Jose  California  95116  United States,,95116,Junk,37.347873,-121.863715,Unknown,15,29,2018,4,22,6
WO-0000420046,2017-03-26 22:28:55,2982 Aetna Way  San Jose  CA 95121  USA,,95121,Trash left on the sidewalk,37.305361,-121.822502,Unknown,22,28,2017,3,26,6
WO-0000270791,2017-07-15 14:15:59,139 Rancho Drive  San Jose  California 95111  United States,,95111,Mattresses  mirror filing cabinet on 163 Rancho dr,37.283741,-121.835776,Unknown,14,15,2017,7,15,5
WO-0000180369,2019-04-20 16:32:58,5329 Lean Avenue  San Jose  California 95123  United States,,95123,Dumped Chair,37.25832,-121.819,Furniture,16,32,2019,4,20,5
WO-0000333939,2018-11-09 23:44:28,1613 Koch Ln  San Jose  CA 95125  USA,,95125,I guess if Laura Wells won’t keep her commitment to provide a mechanism for determining if an abandoned vehicle has moved 1/10th of a mile and if Jim Ortbal won’t return my calls  I’ll get a return on my tax dollars by having my requests closed by a government worker. Someone dumped an old RV at Husted and Booksin. The government workers haven’t done anything about it. I don’t think they’re capable of getting ANYTHING done. The license number is 6tiy589. Certainly Bernie Rosales or Michael Garcia will demonstrate some initiative – if nothing else than by closing my requests. After more than 25 000 requests  you would think that the government workers would do something.,37.274174,-121.904121,Unknown,23,44,2018,11,9,4
WO-0000179508,2017-05-13 16:05:30,3499 Brodie Drive  San Jose  California 95111  United States,,95111,Tires and bucket dumped,37.290658,-121.821768,Unknown,16,5,2017,5,13,5
WO-0000064606,2016-03-20 06:44:09,64 North 34th Street  San Jose  CA 95116,,95116,Always dumping here,37.35386,-121.8585,Unknown,6,44,2016,3,20,6
WO-0000076546,2021-05-30 19:52:33,1933 Doxey Dr  San Jose  CA 95131  USA,,95131,Microwave dump on the street,37.386864,-121.878573,Other,19,52,2021,5,30,6
WO-0000107302,2015-08-03 02:22:02,1065 Lincoln Ct,,95125,Tree blocking street/ Cable wire down,37.292271,-121.887679,Yard Waste,2,22,2015,8,3,0
WO-0000469565,2017-10-30 16:56:59,640 Coyote Rd,,95111,General debris,37.278985,-121.814201,Furniture,16,56,2017,10,30,0
WO-0000341798,2018-10-30 05:56:08,1607 Koch Ln  San Jose  CA 95125  USA,,95125,If Laura Wells won’t keep her commitment to provide a mechanism for determining if an abandoned vehicle has moved 1/10th of a mile and if Jim Ortbal won’t return my calls  I’ll get a return on my tax dollars by having my requests closed by a government worker. Someone dumped an old RV at Husted and Booksin. The government workers haven’t done anything about it. I don’t think they’re capable of getting ANYTHING done. The license number is 6tiy589. Certainly Bernie Rosales or Michael Garcia will demonstrate some initiative – if nothing else than by closing my requests. After more than 35 000 requests  you would think that the government workers would do something.,37.27413,-121.90348,Unknown,5,56,2018,10,30,1
WO-0000391587,2016-01-26 07:17:04,571 S 7th St  San Jose  CA 95112  USA,,95112,Sandra Atanda  408-893-4045 reporting 3 mattresses propped up against sign.  SH,37.330496,-121.878074,Unknown,7,17,2016,1,26,1
WO-0000411215,2019-03-23 08:30:17,1342 Old Abbey Pl  San Jose  CA 95132  USA,,95132,The large junk block the sidewalks long time,37.390405,-121.867155,Garbage and Debris,8,30,2019,3,23,5
WO-0000188091,2017-09-21 18:18:43,1343 Rothland Ct,,95131,Bag of garbage,37.38162,-121.876503,Unknown,18,18,2017,9,21,3
WO-0000431155,2015-01-27 06:22:36,320 N 18th St  San Jose  CA 95112  USA,,95112,On the curb,37.349188,-121.877095,Unknown,6,22,2015,1,27,1
WO-0000001113,2015-12-24 07:13:08,CHERRY AV and HILLSDALE AV,,95118,GLASS IN THE ROADWAY,37.272518,-121.889298,Unknown,7,13,2015,12,24,3
WO-0000240370,2019-01-14 11:34:19,5881 Santa Teresa Blvd,,95123,Furniture in the street,37.236551,-121.833242,Furniture,11,34,2019,1,14,0
WO-0000399951,2020-01-23 16:33:20,530 Chiechi Ave  San Jose  CA 95126  USA,,95126,Cabinet at s Willard and chiechi intersect,37.318758,-121.91674,Unknown,16,33,2020,1,23,3
WO-0000383059,2016-07-06 04:14:30,1002 Furlong Dr,,95123,Junk,37.245114,-121.866424,Yard Waste,4,14,2016,7,6,2
WO-0000038291,2020-12-27 21:23:52,1479 Four Oaks Rd,,95131,c/s Emerald Hills Dr- mattress - cardboard boxes,37.389883,-121.872523,Garbage and Debris,21,23,2020,12,27,6
WO-0000391512,2021-07-31 10:07:22,618 Savstrom Way  San Jose  CA 95111  USA,,95111,People are illegally dumplings on the side walk,37.272604,-121.804998,Furniture,10,7,2021,7,31,5
WO-0000345216,2017-05-13 21:13:47,Capitol Expressway & Story Road,,95122,Debris on the street,37.350727,-121.827026,Unknown,21,13,2017,5,13,5
WO-0000074254,2018-07-18 21:48:10,1301-1349 East Julian Street  San Jose  CA 95116,,95116,2 large sofas dumped this morning or last night sometime.,37.352531,-121.868805,Furniture,21,48,2018,7,18,2
WO-0000387404,2021-11-29 14:09:51,14 Deer Run Cir  San Jose  CA 95136  USA,,95136,On Lost Trail north of Branham. A mattress and brush was dumped and now the pile is growing.,37.266519,-121.82448,Mattress,14,9,2021,11,29,0
WO-0000442623,2021-04-18 15:13:36,3804 Whinney Pl Way  San Jose  CA 95121  USA,,95121,old clothes  furniture  desk & chairs dumped.  Ravens Place Way and the cross street is Whinney Pl Way near the school,37.299027,-121.808076,Unknown,15,13,2021,4,18,6
WO-0000429184,2021-09-27 17:16:08,110 N 11th St  San Jose  CA 95112  USA,,95112,Miscellaneous junk,37.342999,-121.881244,Garbage and Debris,17,16,2021,9,27,0
WO-0000212424,2021-04-23 11:44:38,500 Umbarger Road  San Jose  California 95111  United States,,95111,Couch on sidewalk.,37.30023,-121.844139,Garbage and Debris,11,44,2021,4,23,4
WO-0000027529,2021-01-06 09:22:02,26475 Senter Rd,,95111,c/s Feldspar Ave 3 bags of Garb,37.302556,-121.842572,Garbage and Debris,9,22,2021,1,6,2
WO-0000056114,2020-12-25 14:49:29,Story Rd & Rt 101,,95122,broken bottles covering both lanes,37.339826,-121.851733,Unknown,14,49,2020,12,25,4
WO-0000443292,2016-09-15 03:54:33,119 Cherry Blossom Dr  San Jose  CA 95123  USA,,95123,On Chynoweth Ave. A knapsack dumped ,37.257207,-121.817889,Unknown,3,54,2016,9,15,3
WO-0000386487,2021-09-02 05:32:25,665 E St James St  San Jose  CA 95112  USA,,95112,Dumped printer on sidewalk  just to left of 163 E St James,37.345612,-121.878985,Garbage and Debris,5,32,2021,9,2,3
WO-0000039714,2017-11-13 16:45:37,2991-2999 Fenwick Way  San Jose  CA 95148,,95148,Illegal dumping on land below utility poles,37.316473,-121.803793,Other,16,45,2017,11,13,0
WO-0000096976,2015-03-27 15:33:04,803 Villa Avenue  San Jose  California  95126  United States,,95126,Miscellaneous debris  Dumped in front of a fire hydrant,37.338837,-121.913803,Garbage and Debris,15,33,2015,3,27,4
WO-0000302212,2019-01-05 20:39:58,376 Willard Avenue  San Jose  California 95126  United States,,95126,Mattress,37.321651,-121.917252,Garbage and Debris,20,39,2019,1,5,5
WO-0000162832,2021-04-08 03:49:05,51 Lester Ave  San Jose  CA 95125  USA,,95125,Discarded broken furniture. This address consistently dumps trash on curb/sidewalk!!!,37.310642,-121.904717,Electronic Waste,3,49,2021,4,8,3
WO-0000447298,2019-03-27 05:28:05,4672 Albany Dr  San Jose  CA 95129  USA,,95129,Richfield and Albany intersection SW corner  40 meters west on curb,37.321261,-121.984682,Garbage and Debris,5,28,2019,3,27,2
WO-0000158173,2019-08-01 09:33:08,558 Playa Del Rey  San Jose  CA  USA,,95123,Gabriel Rubio 408-226-3553  Calling to report illegal   dumping. The home is being worked on and the workers are dumping the trash on the side walk in in the bins.  It is the  corner house on Playa Del Rey and Wedgewood Dr.,37.250755,-121.85293,Unknown,9,33,2019,8,1,3
WO-0000101936,2018-01-15 03:18:39,2100-2198 Parkmoor Avenue  San Jose  California  95126  United States,,95128,Next to the pedestrian ramp over 280,37.316799,-121.916451,Garbage and Debris,3,18,2018,1,15,0
WO-0000303302,2020-06-30 07:21:52,46 Jackson Street  San Jose  California 95112  United States,,95112,Table,37.347332,-121.897667,Unknown,7,21,2020,6,30,1
WO-0000293991,2016-04-18 11:42:02,1608 Koch Ln  San Jose  CA 95125  USA,,95125,Someone dumped an old RV at Husted and Booksin. The government workers haven’t done anything about it.,37.273663,-121.903196,Unknown,11,42,2016,4,18,0
WO-0000165176,2017-10-28 12:21:38,1269 East Santa Clara Street  San Jose  California 95116  United States,,95116,Sofa,37.348216,-121.865608,Furniture,12,21,2017,10,28,5
WO-0000406673,2018-12-12 21:12:34,870 Jeanne Ave  San Jose  CA 95116  USA,,95116,FRIDGE,37.334199,-121.862701,Other,21,12,2018,12,12,2
WO-0000067224,2017-03-13 18:32:37,2794 chopin ave,,95122,cs ophelia  pile of wood,37.315575,-121.81507,Garbage and Debris,18,32,2017,3,13,0
WO-0000141747,2018-08-20 03:38:33,4668 Parkwest Dr  San Jose  CA 95130  USA,,95130,4 shopping carts,37.29307,-121.984543,Unknown,3,38,2018,8,20,0
WO-0000010392,2021-12-04 01:24:59,Ocala Avenue,,95122,btw Cathay & Darwin-  mattress & cart full of garbage,37.338791,-121.823292,Unknown,1,24,2021,12,4,5
WO-0000066949,2021-05-03 13:43:33,1601 Seminole Way  San Jose  CA 95122,,95122,Dumped garbage  alcoholics and druggies hanging around!!! Clean it up.,37.32307,-121.8293,Garbage and Debris,13,43,2021,5,3,0
WO-0000137820,2018-01-07 04:35:46,Ocala & Orlando,,95122,garbage bags approx 5-6,37.331634,-121.833817,Unknown,4,35,2018,1,7,6
WO-0000180499,2020-08-28 07:13:12,1460 East Gish Road  San Jose  California 95112  United States,,95112,Wood abandoned on park strip. Full of nails and is a danger to pedestrians. Reported once but closed without being removed. Have also put a call into our area councilmen to request help.,37.365764,-121.903661,Unknown,7,13,2020,8,28,4
WO-0000162301,2019-01-17 23:52:29,417 Stockton Ave  San Jose  CA 95126  USA,,95126,DUMPING OF DEBRIS AND PROPANE TANK ON STOCKTON AVENUE ACROSS FROM CINNABAR APARTMENTS AND ON SIDE OF PGE CONCRETE WALL.  TRANSIENTS TEND TO LEAVE TRASH IN THE BUSHES ALONG PGE CONCRETE WALL. PLEASE SEND CLEAN UP. THANK YOU!,37.335513,-121.908611,Unknown,23,52,2019,1,17,3
WO-0000363045,2017-12-17 12:44:30,5852 Sentinel St,,95120,Dryer blocking sidewalk,37.23408,-121.892037,Unknown,12,44,2017,12,17,6
WO-0000469853,2017-12-23 07:13:41,1263 Lundy Ave,,95131,Mattress  cabinet  2 rolls of carpet  and chair,37.378444,-121.877612,Garbage and Debris,7,13,2017,12,23,5
WO-0000370363,2017-02-09 17:49:43,2268 Amberwood Lane  San Jose  CA 95132  USA,,95132,Morril ave.,37.412775,-121.875802,Furniture,17,49,2017,2,9,3
WO-0000242236,2015-03-20 14:20:30,1152 Blossom Hill Road  San Jose  California 95118  United States,,95118,Illegal dump in front of pet food express  looks like possible stolen merchandise,37.249373,-121.877438,Unknown,14,20,2015,3,20,4
WO-0000009054,2015-04-06 04:24:29,523 Shadow Ct and Juipero Serra Ln,,95129,cardboard boxes-,37.317523,-121.977924,Unknown,4,24,2015,4,6,0
WO-0000095667,2019-10-06 22:14:16,3911 Grandbrook Way,,95111,2 bags of trash,37.291004,-121.820161,Garbage and Debris,22,14,2019,10,6,6
WO-0000000610,2016-02-14 23:34:25,moffat st and gold st,,95002,Priority 1 - dresser dumped in street,37.424049,-121.976089,Unknown,23,34,2016,2,14,6
WO-0000349774,2015-12-17 19:58:59,1300 Poe Ln,,95130,Toilet and root,37.301022,-121.968997,Garbage and Debris,19,58,2015,12,17,3
WO-0000397597,2021-08-27 09:38:17,2604 Glen Cotswold Ct  San Jose  CA 95148  USA,,95148,#NAME?,37.329941,-121.801098,Other,9,38,2021,8,27,4
WO-0000190227,2021-01-28 12:32:08,2664 Ophelia Ave,,95122,Baby car seat,37.318727,-121.818885,Electronic Waste,12,32,2021,1,28,3
WO-0000384480,2018-08-29 23:49:53,1151 Sunny Ct  San Jose  CA 95116  USA,,95116,Near entrance of the properties,37.341125,-121.86057,Garbage and Debris,23,49,2018,8,29,2
WO-0000265686,2021-01-25 03:50:46,836 Los Gatos Creek Trail  San Jose  California 95126  United States,,95126,Abandoned cart,37.321155,-121.903251,Other,3,50,2021,1,25,0
WO-0000126672,2019-07-11 05:47:07,2759b Story Road  San Jose  California 95127  United States,,95127,Bags of trash outside lavanderia,37.351962,-121.825615,Unknown,5,47,2019,7,11,3
WO-0000268148,2015-07-03 11:55:04,706 North 11th Street  San Jose  California 95112  United States,,95112,Lots of garbage always dumped here. Please pick up.,37.354255,-121.889815,Unknown,11,55,2015,7,3,4
WO-0000022683,2020-11-08 08:30:55,Ocala and Cathay,,95122,btwn Cathay & Hopkins bags of garb,37.334425,-121.829726,Unknown,8,30,2020,11,8,6
WO-0000306153,2015-07-21 22:45:24,640 Lenfest Rd,,95133,C/s Las Plumas furniture,37.361553,-121.86784,Mattress,22,45,2015,7,21,1
WO-0000348667,2019-08-11 14:34:47,889 Peter Pan Ave  San Jose  CA 95116  USA,,95116,Illegal dumping is in corner of the house need to be picked up..,37.349743,-121.833287,Furniture,14,34,2019,8,11,6
WO-0000458078,2015-02-11 19:44:19,Snell Avenue & Chynoweth Avenue,,95136,trash bags on Chynoweth in between Snell & Banana Grove ln,37.258835,-121.830999,Unknown,19,44,2015,2,11,2
WO-0000268387,2019-03-27 10:57:14,4596 Thornhaven Way  San Jose  CA 95111  USA,,95111,A box  and tons of miscellaneous garbage  on the opposite side of the address provided.,37.272477,-121.821364,Unknown,10,57,2019,3,27,2
WO-0000114224,2020-10-13 10:52:19,3131 Monterey Rd  San Jose  CA  USA,,95111,Bags of garbage near the car lot.,37.28617,-121.844251,Other,10,52,2020,10,13,1
WO-0000432285,2018-05-18 02:31:25,2455 Foxdale Dr  San Jose  CA 95122  USA,,95122,Trash left on the sidewalk,37.343399,-121.826021,Unknown,2,31,2018,5,18,4
WO-0000076879,2021-12-18 13:07:07,3513-3617  Suncrest Avenue  San Jose  California  95132  United States,,95132,Dumping,37.399609,-121.836864,Mattress,13,7,2021,12,18,5
WO-0000248487,2017-03-25 01:10:10,856 East Santa Clara Street  San Jose  California 95116  United States,,95116,Junk,37.344278,-121.873411,Unknown,1,10,2017,3,25,5
WO-0000009973,2016-01-12 19:56:20,Bailey & Monterey Rd,,95037,before overpass YW,37.206594,-121.729052,Unknown,19,56,2016,1,12,1
WO-0000399485,2016-01-03 03:17:46,2088 Lavonne Ave  San Jose  CA 95116  USA,,95116,Macsa Center,37.349536,-121.839963,Unknown,3,17,2016,1,3,6
WO-0000037312,2019-06-25 15:18:19,3240 Lyter wy,,95135,cs aborn rd acf wooden kitchen chair,37.313336,-121.788718,Furniture,15,18,2019,6,25,1
WO-0000019168,2018-08-27 17:00:28,Holger Wy and Zanker,,95134,closer to zanker 3-5 gal containers oil,37.418178,-121.939212,Unknown,17,0,2018,8,27,0
WO-0000464769,2016-03-13 16:10:29,Santa Teresa Boulevard & Cottle Road,,95123,realtor has their sign pad locked to a pole obstructing the sidewalk,37.237068,-121.803937,Unknown,16,10,2016,3,13,6
WO-0000230840,2021-11-14 01:36:49,266 Casa View Drive  San Jose  California 95129  United States,,95129,Shopping cart full of clothes left on sidewalk,37.320808,-121.989505,Unknown,1,36,2021,11,14,6
WO-0000331429,2019-08-18 06:58:31,178 Narvaez Avenue  San Jose  California 95123  United States,,95136,Illegal dumping,37.282125,-121.865497,Mattress,6,58,2019,8,18,6
WO-0000334465,2017-04-29 22:18:04,1610 Koch Ln  San Jose  CA 95125  USA,,95118,How many government workers does it take to do nothing about the RV that was dumped at Husted and Booksin? It must be quite a few because I’ve submitted more than 25 000 requests to have this junk dealt with and ABSOLUTELY NOTHING has been done about it. What happened to the commitment that Laura Wells made? Why doesn’t Jim Ortbal return my phone calls? Can’t Bernie Rosales or Michael Garcia show any initiative?,37.273031,-121.903469,Unknown,22,18,2017,4,29,5
WO-0000102578,2016-11-10 20:15:12,3218 Impala Dr  San Jose  CA 95117  USA,,95117,Futon,37.295766,-121.953488,Mattress,20,15,2016,11,10,3
WO-0000100896,2017-10-10 03:45:54,3055 McKee Road  San Jose  CA  USA,,95127,papers with personal information  a lot of it. Name on the papers is. Jaime Ortaga  3148 Mt Kinley Dr  95127,37.375091,-121.837546,Other,3,45,2017,10,10,1
WO-0000330113,2015-07-19 03:03:08,10350 Clayton Road  San Jose  California 95127  United States,,95127,Sofa and other junk,37.357601,-121.807359,Furniture,3,3,2015,7,19,6
WO-0000244551,2018-03-07 07:05:14,2522 Brenford Drive  San Jose  California 95122  United States,,95122,Mattress and bike left for the 2 weeks,37.347307,-121.826081,Unknown,7,5,2018,3,7,2
WO-0000384551,2018-07-03 04:42:41,2902 Tolliver Dr  San Jose  CA 95148  USA,,95148,Auto parts dumped,37.319313,-121.794466,Garbage and Debris,4,42,2018,7,3,1
WO-0000215467,2015-01-22 15:41:13,5409 Woodhurst Lane  San Jose  California 95123  United States,,95123,Dumped items aligning sound wall,37.254316,-121.858085,Garbage and Debris,15,41,2015,1,22,3
WO-0000432622,2016-01-30 16:55:25,1006 Leigh Ave  San Jose  CA 95128  USA,,95128,Illegal dumping furnature,37.307648,-121.921829,Unknown,16,55,2016,1,30,5
WO-0000181222,2018-02-18 14:21:46,2431 Meridian Avenue  San Jose  CA  USA,,95124,Abandoned mattress and misc furniture.,37.279507,-121.912176,Unknown,14,21,2018,2,18,6
WO-0000047249,2021-09-06 17:02:05,Panda DrSan Jose  CA 95117,,95117,Someone who does not live here dumped their garage in our dumpster. I have have them on video  along with their license plate 7KNH197 in the act of dumping.,37.310038,-121.969933,Unknown,17,2,2021,9,6,0
WO-0000011006,2020-03-09 17:24:08,501 Ella Dr,,95111,CS Rahway - couch & garbage,37.270301,-121.807156,Unknown,17,24,2020,3,9,0
WO-0000364883,2018-08-18 07:25:02,771 Opal Dr,,95117,2 Mattresses - CS S Winchester B;vd.,37.313591,-121.952955,Garbage and Debris,7,25,2018,8,18,5
WO-0000019772,2018-02-28 02:50:27,500-518 W Julian St,,95110,picked up mattress and garbage.;,37.335768,-121.902224,Garbage and Debris,2,50,2018,2,28,2
WO-0000004415,2017-02-18 23:21:27,3036 Huff Ave,,95128,c/s Magliocco lower half of recliner,37.313539,-121.948476,Unknown,23,21,2017,2,18,5
WO-0000443701,2015-07-16 08:59:10,2255 Ironpicket Ct  San Jose  CA 95116  USA,,95116,Oil,37.356054,-121.84301,Hazardous Waste,8,59,2015,7,16,3
WO-0000365887,2017-01-05 21:55:03,2521 Abed Ct  San Jose  CA 95116  USA,,95116,Along Massar Ave.,37.354397,-121.833592,Mattress,21,55,2017,1,5,3
